Index,Price (in lakhs),City,Floor (Ratio),Furnishing,facing,Bathroom,Balcony,Car Parking,Ownership,BHK,Location,Final Carpet Area (in sqft),CurrentFloor,Transaction,Garden/Park,Main Road,Not Available,Pool
21764,120.0,kolkata,,0,-1,2,0,1,0,2.0,One Rajarhat New Town,740.0,,1,0,1,0,0
21765,40.0,kolkata,1.0,1,135,2,1,-1,0,3.0,"Girish Park, Vivekananda Road",950.0,3.0,0,0,0,0,0
21766,25.0,kolkata,0.5,1,-1,2,1,-1,-1,2.0,Jodhpur Gardens,600.0,2.0,0,0,0,0,0
21767,225.0,kolkata,0.9090909090909091,2,-1,2,0,-1,-1,3.0,Rosedale Garden New Town,1560.0,10.0,0,0,0,0,0
21768,95.0,kolkata,0.5714285714285714,0,0,2,2,1,0,2.0,Mani Casa New Town,880.0,12.0,0,0,1,0,0
21769,70.0,kolkata,1.0,0,-1,1,0,-1,-1,1.0,Central road jadavpur Kolkata,400.0,1.0,0,0,0,0,0
21770,85.0,kolkata,0.4,0,135,3,2,1,0,3.0,Team Taurus De Ja Vu Rajarhat,1518.4,2.0,0,0,1,0,0
21771,,kolkata,1.0,1,90,1,1,-1,0,2.0,Belur Math,561.0,5.0,0,1,1,0,0
21772,72.0,kolkata,0.1111111111111111,0,90,2,2,-1,-1,2.0,DLF New Town Heights Rajarhat,900.0,2.0,0,1,1,0,1
21773,45.0,kolkata,0.3333333333333333,2,-1,2,0,-1,-1,2.0,"Road, Kolkata",860.0,2.0,2,0,0,0,0
21774,32.5,kolkata,0.1428571428571428,0,-1,2,0,1,-1,2.0,"Bablatala, Gopalpur Gram",813.6,1.0,0,0,1,0,0
21775,25.0,kolkata,1.0,1,-1,1,0,-1,-1,2.0,Shyamnagar,544.0,4.0,0,0,0,0,0
21776,16.0,kolkata,1.0,0,-1,2,0,-1,-1,2.0,"Larika estates Ltd, FL/NO-B1/403/2, Barasat Kolkata. Kolkata",574.4,4.0,0,0,0,0,0
21777,120.0,kolkata,0.2857142857142857,1,45,2,2,1,0,3.0,Urban Heights Rajdanga,1240.8,2.0,1,0,0,0,0
21778,121.0,kolkata,0.6428571428571429,2,45,3,2,1,0,3.0,Elita Garden Vista Action Area III,1450.0,18.0,0,1,0,0,0
21779,192.0,kolkata,0.1142857142857143,0,270,3,1,1,0,3.0,Rare Earth Narkeldanga,1447.2,4.0,1,1,0,0,0
21780,25.0,kolkata,0.0,0,-1,2,1,-1,-1,2.0,Nayabad,750.0,0.0,0,0,0,0,0
21781,22.0,kolkata,0.7857142857142857,1,-1,2,1,-1,-1,2.0,Maheshtala,569.6,11.0,0,0,0,0,0
21782,34.0,kolkata,0.5,1,-1,2,2,-1,-1,2.0,"Siddha Town Chinar Park, Rajarhat",780.0,2.0,0,0,0,0,0
21783,51.0,kolkata,0.5,2,-1,2,0,-1,-1,4.0,hawda Kolkata,1064.0,3.0,0,0,0,0,0
21784,31.0,kolkata,1.0,2,225,2,1,-1,0,2.0,Arbi 5th Avenue Madhyamgram,680.0,3.0,0,0,1,0,0
21785,42.0,kolkata,0.3333333333333333,2,45,2,1,1,0,2.0,Nayabad,745.0,1.0,0,0,1,0,0
21786,260.0,kolkata,0.5263157894736842,0,180,3,1,-1,0,3.0,Onex Privy Southern Avenue,1364.0,10.0,0,0,0,0,1
21787,18.3,kolkata,0.8,0,45,1,1,-1,0,2.0,Sodepur,492.0,4.0,1,1,0,0,0
21788,23.0,kolkata,1.0,1,-1,1,1,-1,-1,1.0,Bengal Peerless Animikha Rajarhat,400.0,3.0,0,0,0,0,0
21789,68.0,kolkata,0.5,0,45,2,1,-1,0,2.0,Action Area I,890.0,2.0,0,0,0,0,0
21790,22.0,kolkata,0.0,1,-1,1,1,-1,-1,2.0,Tirupati Enclave Samarpally,500.0,0.0,0,0,0,0,0
21791,110.0,kolkata,0.6,1,90,2,2,0,0,3.0,Diamond City South Tollygunge,1148.0,12.0,0,0,1,0,0
21792,395.0,kolkata,0.5,1,90,3,2,1,0,3.0,"Sunny Park Ballygunge Park, Ballygunge",2550.0,2.0,0,1,0,0,0
21793,136.0,kolkata,,0,180,3,1,1,0,4.0,Kshitij Dum Dum,1349.0,,0,1,1,0,0
21794,120.0,kolkata,,0,-1,2,0,1,0,2.0,One Rajarhat New Town,740.0,,1,0,1,0,0
21795,40.0,kolkata,1.0,1,135,2,1,-1,0,3.0,"Girish Park, Vivekananda Road",950.0,3.0,0,0,0,0,0
21796,25.0,kolkata,0.5,1,-1,2,1,-1,-1,2.0,Jodhpur Gardens,600.0,2.0,0,0,0,0,0
21797,225.0,kolkata,0.9090909090909091,2,-1,2,0,-1,-1,3.0,Rosedale Garden New Town,1560.0,10.0,0,0,0,0,0
21798,95.0,kolkata,0.5714285714285714,0,0,2,2,1,0,2.0,Mani Casa New Town,880.0,12.0,0,0,1,0,0
21799,70.0,kolkata,1.0,0,-1,1,0,-1,-1,1.0,Central road jadavpur Kolkata,400.0,1.0,0,0,0,0,0
21800,85.0,kolkata,0.4,0,135,3,2,1,0,3.0,Team Taurus De Ja Vu Rajarhat,1518.4,2.0,0,0,1,0,0
21801,,kolkata,1.0,1,90,1,1,-1,0,2.0,Belur Math,561.0,5.0,0,1,1,0,0
21802,72.0,kolkata,0.1111111111111111,0,90,2,2,-1,-1,2.0,DLF New Town Heights Rajarhat,900.0,2.0,0,1,1,0,1
21803,45.0,kolkata,0.3333333333333333,2,-1,2,0,-1,-1,2.0,"Road, Kolkata",860.0,2.0,2,0,0,0,0
21804,32.5,kolkata,0.1428571428571428,0,-1,2,0,1,-1,2.0,"Bablatala, Gopalpur Gram",813.6,1.0,0,0,1,0,0
21805,25.0,kolkata,1.0,1,-1,1,0,-1,-1,2.0,Shyamnagar,544.0,4.0,0,0,0,0,0
21806,16.0,kolkata,1.0,0,-1,2,0,-1,-1,2.0,"Larika estates Ltd, FL/NO-B1/403/2, Barasat Kolkata. Kolkata",574.4,4.0,0,0,0,0,0
21807,120.0,kolkata,0.2857142857142857,1,45,2,2,1,0,3.0,Urban Heights Rajdanga,1240.8,2.0,1,0,0,0,0
21808,121.0,kolkata,0.6428571428571429,2,45,3,2,1,0,3.0,Elita Garden Vista Action Area III,1450.0,18.0,0,1,0,0,0
21809,192.0,kolkata,0.1142857142857143,0,270,3,1,1,0,3.0,Rare Earth Narkeldanga,1447.2,4.0,1,1,0,0,0
21810,25.0,kolkata,0.0,0,-1,2,1,-1,-1,2.0,Nayabad,750.0,0.0,0,0,0,0,0
21811,22.0,kolkata,0.7857142857142857,1,-1,2,1,-1,-1,2.0,Maheshtala,569.6,11.0,0,0,0,0,0
